Episode 390/500, total reward: 21.201526717557112
Episode 391/500, total reward: 127.64615384615448
Episode 392/500, total reward: 162.80555555555733
Episode 393/500, total reward: 30.04242424242406
Episode 394/500, total reward: 22.00709219858139
Episode 395/500, total reward: 21.444444444444283
Episode 396/500, total reward: 33.12413793103429
Episode 397/500, total reward: 1.0222222222222834
Episode 398/500, total reward: 26.0535211267604
Episode 399/500, total reward: 98.48221343873612
Episode 400/500, total reward: 240.5156462585048
Episode 401/500, total reward: 50.14246575342439
Episode 402/500, total reward: 193.91914893617243
Episode 403/500, total reward: 19.622950819671892
Episode 404/500, total reward: 83.38685121107349
Episode 405/500, total reward: 30.62056074766319
Episode 406/500, total reward: 145.66666666666742
Episode 407/500, total reward: 187.0902356902378
Episode 408/500, total reward: 2.92527472527474
Episode 409/500, total reward: 36.26666666666631
Episode 410/500, total reward: 13.562546816479282
Episode 411/500, total reward: 4.091358024691353
Episode 412/500, total reward: 29.40621118012389
Episode 413/500, total reward: 10.841025641025599
Episode 414/500, total reward: 4.33691756272405
Episode 415/500, total reward: -0.09085173501576738
Episode 416/500, total reward: 12.234482758620633
Episode 417/500, total reward: -0.17068403908793842
Episode 418/500, total reward: -0.12750809061488033
Episode 419/500, total reward: 17.63061889250797
Episode 420/500, total reward: 106.34875444839987
Episode 421/500, total reward: 34.774592833876014
Episode 422/500, total reward: 58.106382978723396
Episode 423/500, total reward: 31.85618729096963
Episode 424/500, total reward: 54.45092250922495
Episode 425/500, total reward: 29.44745762711839
Episode 426/500, total reward: 2.3388724035608965
Episode 427/500, total reward: 255.41328413284117
Episode 428/500, total reward: 9.241025641025612
Episode 429/500, total reward: 18.710179640718298
Episode 430/500, total reward: 75.49922480620206
Episode 431/500, total reward: 198.5498452012412
Episode 432/500, total reward: 120.40000000000092
Episode 433/500, total reward: -0.0659932659932585
Episode 434/500, total reward: 17.090909090908923
Episode 435/500, total reward: 14.27104247104219
Episode 436/500, total reward: 34.381102362204565
Episode 437/500, total reward: 21.135483870967526
Episode 438/500, total reward: 54.51543624161085
Episode 439/500, total reward: 11.372027972027903
Episode 440/500, total reward: 11.402640264026356
Episode 441/500, total reward: 25.251851851851548
Episode 442/500, total reward: 23.353191489361492
Episode 443/500, total reward: 6.727272727272771
Episode 444/500, total reward: 206.0752688172089
Episode 445/500, total reward: 16.40068728522321
Episode 446/500, total reward: 10.94426229508174
Episode 447/500, total reward: 31.85660377358475
Episode 448/500, total reward: 7.042424242424254
Episode 449/500, total reward: -0.17406143344709127
Episode 450/500, total reward: 204.96026936027238
Episode 451/500, total reward: 12.79649122806997
Episode 452/500, total reward: 41.02816901408395
Episode 453/500, total reward: 95.36363636363797
Episode 454/500, total reward: 28.11891891891876
Episode 455/500, total reward: 122.81318681318959
Episode 456/500, total reward: 45.48852459016359
Episode 457/500, total reward: 33.41818181818158
Episode 458/500, total reward: 156.81691842900446
Episode 459/500, total reward: 15.687947882735923
Episode 460/500, total reward: 18.774721189590945
Episode 461/500, total reward: 36.82913165266062
Episode 462/500, total reward: 81.36156583629959
Episode 463/500, total reward: 18.60068728522316
Episode 464/500, total reward: 31.435114503816557
Episode 465/500, total reward: -0.15180722891563617
Episode 466/500, total reward: 30.907692307692088
Episode 467/500, total reward: 20.398501872658954
Episode 468/500, total reward: 102.60918727915313
Episode 469/500, total reward: 109.5016611295689
Episode 470/500, total reward: 0.8450331125828117
Episode 471/500, total reward: 8.316853932584353
Episode 472/500, total reward: 35.971014492753376
Episode 473/500, total reward: -0.04089456869004168
Episode 474/500, total reward: 33.42068965517216
Episode 475/500, total reward: 37.66896551724115
Episode 476/500, total reward: -0.03661971830983754
Episode 477/500, total reward: 34.14782608695636
Episode 478/500, total reward: 39.594202898550485
Episode 479/500, total reward: 19.955414012738714
Episode 480/500, total reward: 1.9010380622837828
Episode 481/500, total reward: 25.379710144927397
Episode 482/500, total reward: 18.644444444444154
Episode 483/500, total reward: 24.803533568904292
Episode 484/500, total reward: 33.46237942122166
Episode 485/500, total reward: 47.49197080291941
Episode 486/500, total reward: 63.82580645161396
Episode 487/500, total reward: 28.592982456139765
Episode 488/500, total reward: 33.6405594405592
Episode 489/500, total reward: 94.13740458015315
Episode 490/500, total reward: 10.246715328467033
Episode 491/500, total reward: 28.702681992336792
Episode 492/500, total reward: 64.84412811387983
Episode 493/500, total reward: 196.29169435216144
Episode 494/500, total reward: 13.320481927710764
Episode 495/500, total reward: 18.66791277258552
Episode 496/500, total reward: 87.1048689138584
Episode 497/500, total reward: 137.34093959731635
Episode 498/500, total reward: 135.33919413919597
Episode 499/500, total reward: 120.20000000000093
Episode 500/500, total reward: 71.8344827586218
