Episode 262/500, total reward: -0.06486486486484577
Episode 263/500, total reward: 34.12484076433101
Episode 264/500, total reward: 58.23265306122448
Episode 265/500, total reward: 15.434482758620533
Episode 266/500, total reward: 69.20327868852524
Episode 267/500, total reward: 34.94405594405575
Episode 268/500, total reward: 65.22089552238859
Episode 269/500, total reward: 31.999999999999815
Episode 270/500, total reward: 43.69677419354797
Episode 271/500, total reward: 16.861538461538263
Episode 272/500, total reward: -0.1328621908127131
Episode 273/500, total reward: -0.13198653198650023
Episode 274/500, total reward: 72.86777408637941
Episode 275/500, total reward: 56.41488673139136
Episode 276/500, total reward: 35.57222222222196
Episode 277/500, total reward: 23.46710963455135
Episode 278/500, total reward: 92.71347517730618
Episode 279/500, total reward: 137.2690553745965
Episode 280/500, total reward: 56.42735562310024
Episode 281/500, total reward: 44.530069930069715
Episode 282/500, total reward: -0.015335463258767862
Episode 283/500, total reward: -0.01098901098898894
Episode 284/500, total reward: 62.778737541528805
Episode 285/500, total reward: 44.51145510835893
Episode 286/500, total reward: 99.65714285714418
Episode 287/500, total reward: -0.031541218637984175
Episode 288/500, total reward: 68.07665505226561
Episode 289/500, total reward: -0.10344827586206196
Episode 290/500, total reward: 32.48205128205109
Episode 291/500, total reward: -0.025974025974034393
Episode 292/500, total reward: 72.11743119266114
Episode 293/500, total reward: 39.74006734006704
Episode 294/500, total reward: 42.48875739644943
Episode 295/500, total reward: 53.77062146892637
Episode 296/500, total reward: 47.823693379790605
Episode 297/500, total reward: 43.8244897959182
Episode 298/500, total reward: 50.09806949806928
Episode 299/500, total reward: 63.20000000000121
Episode 300/500, total reward: 48.63673469387712
Episode 301/500, total reward: 104.56363636363784
Episode 302/500, total reward: 44.34193548387077
Episode 303/500, total reward: -0.04262295081966558
Episode 304/500, total reward: 23.23157894736812
Episode 305/500, total reward: -0.11048951048948974
Episode 306/500, total reward: 47.55460122699357
Episode 307/500, total reward: 48.75820895522361
Episode 308/500, total reward: -0.03135888501741421
Episode 309/500, total reward: -0.0857142857144535
Episode 310/500, total reward: -0.08379204892965864
Episode 311/500, total reward: 57.82007722007735
Episode 312/500, total reward: 49.69055374592858
Episode 313/500, total reward: 104.412709030102
Episode 314/500, total reward: 41.87067137809166
Episode 315/500, total reward: 62.65270758122794
Episode 316/500, total reward: 62.21958041958078
